column,dtype_after_cleaning
BuyerAgentAOR,str
ListAgentAOR,str
Flooring,str
ViewYN,object
PoolPrivateYN,object
OriginalListPrice,float64
ListingKey,int64
CloseDate,datetime64[us]
ClosePrice,float64
ListAgentFirstName,string
ListAgentLastName,string
Latitude,float64
Longitude,float64
PropertyType,str
LivingArea,float64
ListPrice,float64
DaysOnMarket,int64
ListOfficeName,string
BuyerOfficeName,string
ListAgentFullName,str
BuyerAgentMlsId,str
BuyerAgentFirstName,string
BuyerAgentLastName,string
AssociationFeeFrequency,str
ListingKeyNumeric,int64
MLSAreaMajor,string
CountyOrParish,string
MlsStatus,string
ElementarySchool,str
AttachedGarageYN,object
ParkingTotal,float64
PropertySubType,string
LotSizeAcres,float64
SubdivisionName,str
BuyerOfficeAOR,str
YearBuilt,float64
ListingId,str
BathroomsTotalInteger,float64
City,string
BuildingAreaTotal,float64
BedroomsTotal,float64
ContractStatusChangeDate,datetime64[us]
PurchaseContractDate,datetime64[us]
ListingContractDate,datetime64[us]
StateOrProvince,str
MiddleOrJuniorSchool,str
FireplaceYN,object
Stories,float64
HighSchool,str
Levels,str
LotSizeArea,float64
MainLevelBedrooms,float64
NewConstructionYN,object
GarageSpaces,float64
HighSchoolDistrict,str
PostalCode,string
AssociationFee,float64
LotSizeSquareFeet,float64
year_month,str
rate_30yr_fixed,float64
CloseDate_parse_failed_flag,bool
PurchaseContractDate_parse_failed_flag,bool
ListingContractDate_parse_failed_flag,bool
ContractStatusChangeDate_parse_failed_flag,bool
BuyerAgentFullName,str
invalid_close_price_flag,bool
invalid_living_area_flag,bool
invalid_days_on_market_flag,bool
invalid_bedrooms_flag,bool
invalid_bathrooms_flag,bool
missing_close_date_flag,bool
missing_listing_contract_date_flag,bool
listing_after_close_flag,bool
purchase_after_close_flag,bool
purchase_before_listing_flag,bool
negative_timeline_flag,bool
missing_coordinates_flag,bool
zero_coordinates_flag,bool
longitude_positive_flag,bool
implausible_ca_coordinates_flag,bool
invalid_coordinates_flag,bool
sold_status_not_closed_flag,bool
