yrmo,closed_sales,total_sales_volume,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,average_close_to_original_list_ratio,average_close_to_list_ratio
2024-01,16376,11675306934.39,555000.0,712952.3042495114,358.8203673636761,41.149548119198826,1.2234659815046218,1.0606911637293461
2024-02,18271,14313541344.83,605000.0,783402.1862421323,398.3050847457627,38.232992173389526,1.6275446718345425,1.0832164923728336
2024-03,21470,17952341638.97,640000.0,836159.3683730788,420.21334395827296,34.87265952491849,43.25418002670727,1.2198654707711636
2024-04,22770,20525901561.78,688392.5,901444.9522081686,449.438202247191,31.96556873078612,43.58571333411279,1.1734676532736423
2024-08,22845,19751123340.65,655000.0,864570.9494703437,433.9031339031339,32.89017290435544,1.9008249616821793,1.0805819777077235
2024-09,19838,17018348618.4,650000.0,857866.1467083375,428.711111514653,34.29060389152132,49.972643654889424,1.1939102860681874
2024-10,21746,19286476602.3,685000.0,886897.664043962,450.4715884349859,35.722523682516325,1.1818829983227372,1.019612819388862
2024-11,18904,17065505437.65,675000.0,902745.7383437367,438.13268888702635,37.55358654253068,108.66022391081006,1.1729415785312252
2024-12,18665,16188682948.38,670000.0,867328.3122625233,433.83084577114425,41.88122153763729,102.80892502686949,1.07112065733993
2025-02,17313,14467221644.05,620000.0,835627.658063305,403.77358490566036,41.98018829781089,inf,1.244688485229293
2025-03,19829,17466231831.04,636080.0,880842.7974703717,412.22030981067127,39.06021483685511,1.2866615800908388,1.1397329378463112
2025-04,21457,20064199151.1,655000.0,935088.7426527473,426.7857142857143,36.634618073356016,6.876297277832692,inf
2025-05,21455,19821547518.71,649000.0,923866.1159967373,415.8512720156556,35.858914006059194,92.05870923482215,1.349075131786303
2025-06,21252,19211375023.23,645000.0,903979.6265400903,412.79054816315534,37.475625823451914,inf,1.1938632682412407
2025-07,22087,19246771070.06,635000.0,871407.2110318288,409.56749672346,38.43233576311858,29.172972239349217,1.4424403050867998
2025-08,21490,18529931188.92,625000.0,862258.3149799906,400.5070083982274,40.41046998604002,1.8499116381693315,1.2488658831250719
2025-09,20910,23092241284.1,635000.0,1104363.5238689622,410.958904109589,42.05298900047824,2.608125464643832,2.081091179656801
2025-10,21591,19458625751.36,650000.0,901237.8190616461,418.57798165137615,44.186883423648744,1.5638728045194263,1.3305654057475742
2025-11,17758,15894115059.98,645000.0,895039.7037943462,407.9877300613497,45.61803130983219,1.4016639189520814,1.288746093519402
2025-12,18834,16815949362.55,640000.0,892850.6617048953,408.4353319142226,48.768822342571944,inf,1.2685063832007206
2026-01,15213,12347427409.28,550000.0,811636.5877394334,346.35823429541597,51.623414185236314,inf,1.3199696129047023
2026-02,17578,14522710404.46,599000.0,826186.7336704972,388.7877773807787,48.2319376493344,1.292014604201677,1.1425911835510365
2026-03,21721,19462022520.96,630000.0,896000.3002145389,404.04040404040404,43.79319552506791,1.3336541783953664,1.1140707236846688
2026-04,22675,22222962012.66,655000.0,980064.4768538037,420.0,40.20542447629548,1.3717618285470812,1.2056323607482424
2026-05,22636,19688187912.71,650000.0,869773.2776422512,410.867177854684,39.47976674324086,1.2900956395750414,1.2603165886996828
2026-06,23905,21271244244.42,657000.0,889824.0637699226,416.93393200769725,38.30483162518301,1.51131124506469,1.3976629073218245
