BuyerOfficeName,closed_sales,total_sales_volume,median_close_price,average_close_to_original_list_ratio,average_days_on_market
Compass,31409,44262028430.51,1040000.0,1.5567617411226033,35.34636569136235
Coldwell Banker Realty,18753,23129083519.99,825000.0,1.4799171411885161,37.85101050498587
Unknown,5991,7537954411.0,1045000.0,1.340777033012044,35.217159071941246
Keller Williams Realty,7216,7480920928.22,715000.0,2.316529911189,35.863082039911305
Real Broker,6819,5892712057.5,720000.0,1.3024229982767945,35.26939433934594
Berkshire Hathaway HomeServices California Properties,5211,5630957141.81,720000.0,1.282105199688901,43.06563039723662
NONMEMBER MRML,10297,5327947478.89,432000.0,inf,49.63552491016801
First Team Real Estate,6236,5065980365.5,730000.0,157.44990786060484,33.54874919820398
eXp Realty of California Inc,5718,5015298953.0,747500.0,1.200821359903766,38.51766351871284
The Agency,3382,4837782509.0,885000.0,1.0308449094911278,44.53903015966883
Intero Real Estate Services,3232,4797837806.0,1260000.0,1.0205730328615665,27.228032178217823
Coldwell Banker West,2465,4380334981.0,755000.0,3.7106377573418015,29.844219066937118
"eXp Realty of California, Inc.",4561,4173068060.93,690000.0,1.6830554484200406,36.09142731857049
None MRML,9151,3761248421.84,4375.0,1.3812990389684792,43.62430335482461
Redfin,2705,3543927167.0,1125000.0,1.6689509610504505,30.937153419593347
Sotheby's International Realty,2692,3440704875.0,900000.0,0.9684077211186413,49.475482912332836
Equity Union,4289,3225263042.38,624500.0,421.12987280694745,45.57868967125204
Redfin Corporation,3046,3006514168.05,830000.0,1.2556017845692349,38.21043992120814
Berkshire Hathaway HomeService,2113,2738838849.6,615000.0,1.9271912086625047,39.390440132513014
Pacific Sotheby's Int'l Realty,1426,2625116171.35,1191181.5,0.978153104295093,40.633239831697054
Christie's International Real Estate Sereno,1307,2542356775.15,1522000.0,1.0148633895829384,28.336648814078043
Pinnacle Real Estate Group,2459,2451734177.24,868000.0,5.0239239565435305,33.126067507116716
"Pinnacle Estate Properties, Inc.",1872,2324468160.0,775000.0,1.5111513132550867,41.550213675213676
Realty One Group West,1697,2269170924.0,700000.0,7.444469061773414,34.17796110783736
COMPASS,2166,2139657926.94,855000.0,1.0349075327906752,32.81717451523546
Carolwood Estates,815,2117884687.0,969000.0,0.9610497674180355,45.48711656441718
Rodeo Realty,2390,2056859541.15,555000.0,5.168361727491639,41.85271966527197
KW Advisors,1340,1761079325.0,1172200.0,1.6062794942644827,30.638805970149253
Seven Gables Real Estate,1900,1692632314.77,775000.0,0.9906866712716536,31.73894736842105
Real Brokerage Technologies,1829,1551804910.0,705000.0,1.5685665559338675,39.96336796063423
The Beverly Hills Estates,627,1460525843.5,849000.0,0.9541653689798936,52.866028708133975
Non-Participant Office,1687,1379380847.0,6500.0,0.9599868046531143,53.56550088915234
Century 21 Masters,2266,1345387968.0,585000.0,1.7014314612394525,41.853927625772286
Christie's International Real Estate SoCal,831,1336642043.0,708100.0,0.95944219275063,47.56317689530686
"eXp Realty of Southern California, Inc.",1614,1326192051.0,692000.0,0.977015784998589,38.153035935563814
"HomeSmart, Evergreen Realty",1836,1305478100.0,630000.0,1.655127712044071,35.23474945533769
Keller Williams VIP Properties,472,1284518880.0,612500.0,6.189103549239254,38.858050847457626
Estate Properties,1270,1271740532.29,790000.0,0.9846576289213664,36.077952755905514
"Douglas Elliman of California, Inc.",902,1271555310.0,850000.0,0.9802431478336965,39.36474501108648
Out of Area Office,1052,1258805913.0,812105.0,0.9787422142556121,42.31178707224335
ROA California Inc,633,1235213281.0,692500.0,18.057144567381172,37.25592417061611
Keller Williams Thrive,646,1192712923.0,1634444.0,1.0566075934877885,18.021671826625386
Vista Sothebyâs International Realty,797,1171978916.29,1230000.0,1.0053052107587035,32.63237139272271
Douglas Elliman,757,1144906511.0,855000.0,0.9942975236286962,47.19682959048877
Keller Williams Realty Irvine,1321,1137429525.0,685000.0,1.756495441807537,30.71990915972748
Bennion Deville Homes,1457,1134366225.0,590000.0,1.625319222405513,60.61015785861359
JohnHart Real Estate,1771,1094315627.26,576000.0,1.555334261705301,40.11067193675889
"eXp Realty of California, Inc",1070,1034233114.0,735000.0,0.9897677928405789,36.29345794392523
Pinnacle Estate Properties,1266,1021808113.0,742500.0,1.052682395853423,40.808846761453395
Acropolis Enterprise Inc.,57,1018428216.0,820000.0,18.02723838356717,23.05263157894737
Keller Williams Beverly Hills,1247,1008747599.2,405000.0,1.1266793677798859,42.662389735364876
KW Bay Area Estates,539,935492230.0,1500000.0,1.0229348868659989,25.773654916512058
Maxreal,432,928823516.0,1814000.0,1.0485330495398868,20.42824074074074
T.N.G. Real Estate Consultants,1112,924563977.0,778000.0,1.0016518523221103,33.24820143884892
HomeSmart Realty West,1118,915563810.0,735000.0,0.9836257256908871,35.99910554561718
OUT OF AREA,1026,905132398.4,659500.0,0.9830850444673526,42.22904483430799
Century 21 Affiliated,947,903760524.0,750000.0,1.918463447901556,31.503695881731783
Golden Gate Sotheby's International Realty,418,888089770.0,1684444.0,1.0322352173681648,26.547846889952154
Red Oak Realty,721,883588542.0,1150000.0,1.1660365265511166,23.690707350901526
RE/MAX One,980,868749573.0,749500.0,0.9833629215802955,39.19591836734694
Elevate Real Estate Agency,622,860891710.0,565000.0,2.52993002486477,42.78456591639871
Coldwell Banker Country Realty,31,856189895.0,685000.0,33.183817686980966,32.03225806451613
Coldwell Banker,735,849024876.0,967000.0,0.9925722671817159,30.468027210884355
REALTY ONE GROUP WEST - CORONA,17,807524503.0,562215.0,56.04097865094815,20.705882352941178
