CountyOrParish,closed_sales,total_sales_volume,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,average_close_to_original_list_ratio,median_listing_to_contract_days,median_contract_to_close_days
Santa Clara,17084,29679063144.0,1480500.0,1737243.2184500117,901.0712035286705,24.795598220557245,1.0343421932047396,11.0,24.0
San Mateo,7561,13658833962.0,1450000.0,1806485.1159899484,931.6770186335403,32.07274170083322,2.660075824770001,13.0,21.0
Marin,138,179069764.0,1157500.0,1297606.9855072463,653.6038522175292,55.19565217391305,0.9626762103924482,29.5,23.0
Santa Cruz,3051,3730179376.0,1080000.0,1222608.7761389709,683.0518697225573,41.365781710914455,0.967641461049114,20.0,25.0
San Francisco,1022,1139595946.0,1079000.0,1115064.5264187867,805.7421388717232,41.87671232876713,1.0262831157019225,18.0,21.0
Alameda,18415,22735423822.0,1070000.0,1234614.3807765408,677.6803776129467,27.80863426554439,1.5228532634046508,14.0,22.0
Monterey,3700,4935498117.0,880500.0,1333918.41,574.5258316116181,47.65486486486486,0.9607854551514994,23.0,29.0
San Luis Obispo,6101,5704645305.39,825000.0,935034.4706425177,508.9334055224689,44.89346008851008,1.4444908313743392,31.0,30.0
San Diego,55282,69286165259.9,800000.0,1253322.3338500776,538.1234866160321,33.022973119641115,2.1769744973439376,23.0,24.0
Napa,115,103036775.0,785166.0,895971.9565217391,449.0500863557858,51.92173913043478,0.9693535608862452,38.0,23.0
San Benito,768,625271137.0,770000.0,814155.1263020834,405.51727223912656,47.157552083333336,0.97421080234491,31.0,29.0
Contra Costa,18408,18812103915.0,765000.0,1021952.6246740548,490.51703465168464,30.48728813559322,1.1654231365587677,16.0,22.0
Ventura,16299,12666369640.02,740000.0,777125.5684410087,458.41784989858013,43.33591017853856,1.4843503022155955,34.0,18.0
Santa Barbara,2041,2824733223.06,690000.0,1383994.7197746201,412.3393316195373,42.90200881920627,1.0309277999109983,24.0,30.0
Sonoma,154,126400445.0,688500.0,820782.1103896104,450.24645084419205,50.201298701298704,0.9658875821319772,34.5,22.0
Orange,70557,64349917359.76,665000.0,912027.401388381,523.2804232804233,34.390861289453916,51.5955491505739,26.0,20.0
Los Angeles,152850,126270866675.62,629333.5,826109.6936579653,440.7940327389607,40.41014720314033,74.11059501933075,28.0,23.0
Placer,185,126568184.0,625000.0,684152.3459459459,322.098976109215,36.983783783783785,0.967425445648056,23.0,22.0
Yolo,75,46645393.0,615000.0,621938.5733333334,321.95701874714223,40.92,0.983215763272295,25.0,26.0
San Joaquin,1668,1020457149.0,615000.0,611784.8615107914,306.87860017885805,42.70443645083933,0.9770694053181507,27.0,28.0
El Dorado,90,63599410.0,612500.0,706660.1111111111,339.28732589272283,76.84444444444445,0.9461372759993307,43.5,26.0
Mendocino,427,306461727.0,606000.0,717708.962529274,400.1240694789082,100.64637002341921,0.9063071467939365,75.0,33.0
Inyo,8,3768500.0,569250.0,471062.5,327.27184378067466,66.0,0.90548581827065,57.0,26.0
Solano,1446,815280517.0,555000.0,563817.7849239281,333.1291421587232,40.804287690179805,0.9880606671481055,24.0,25.0
Riverside,64862,37495213264.81,539000.0,578076.7362216706,291.6666666666667,49.14305756837594,inf,38.0,27.0
Mono,23,13131285.0,535000.0,570925.4347826086,482.05677557579,67.82608695652173,0.9612132454363814,45.5,10.0
Calaveras,86,46195194.0,483000.0,537153.4186046511,264.845212520185,66.15116279069767,0.9176380841086974,50.0,29.0
Sacramento,834,411100024.0,470500.0,492925.68824940047,307.71989846595295,33.648681055155876,0.9891599770250348,20.0,24.0
San Bernardino,43872,20756077313.67,460000.0,473105.336288977,287.7094872278524,46.22016320204231,inf,33.0,30.0
Stanislaus,609,279330328.0,460000.0,458670.4893267652,283.36079077429986,40.748768472906406,0.9913707088889814,25.0,28.0
Nevada,43,21490346.0,453000.0,499775.488372093,285.1002865329513,55.23255813953488,0.9259609868263309,37.0,25.0
Madera,1132,521633870.0,420000.0,460807.30565371027,244.59679076457513,65.58657243816255,1.8690979167347728,48.0,31.0
Fresno,1245,588286480.4,410000.0,472519.2613654618,251.6425755584757,43.334939759036146,2.6508075130093878,28.0,30.0
Sutter,91,35723550.0,410000.0,392566.4835164835,250.3646086533787,41.23076923076923,19.388489116082066,39.0,27.0
Merced,2369,1014460212.72,410000.0,428222.9686449979,256.21511922881785,45.83495145631068,2.330472198463524,30.0,29.0
Colusa,22,8992900.0,402500.0,408768.1818181818,229.56755489866885,46.59090909090909,0.9151727448338606,12.5,27.5
Yuba,136,55507027.0,400000.0,408139.9044117647,244.12763460829083,73.77941176470588,0.9453583717017319,51.0,30.0
Mariposa,333,155144384.0,400000.0,465899.05105105106,249.47589098532495,77.8048048048048,0.9275497667548608,49.0,33.0
Humboldt,13,4938745.0,400000.0,379903.46153846156,253.33333333333334,98.84615384615384,0.8823590732463187,64.0,34.0
Plumas,37,19636201.0,392800.0,530708.1351351351,251.1415525114155,80.97297297297297,0.9137706913511596,67.0,34.0
Tuolumne,102,45512012.0,391875.0,446196.1960784314,256.63691534203446,89.43137254901961,0.9306645300052571,40.0,30.5
Tulare,340,149900539.0,385000.0,440883.93823529413,230.96257154332764,45.46176470588235,12.120557365753163,31.0,30.0
Butte,4011,1627426665.38,380000.0,405740.8789279482,259.1463414634146,55.34156070805285,1.4710174696507674,33.0,30.0
Clark,1,375000.0,375000.0,375000.0,285.6054836252856,2.0,0.974025974025974,2.0,9.0
Kings,216,82526077.0,355000.0,382065.1712962963,231.19069691677868,41.263888888888886,1.0192078642676206,27.5,30.0
Shasta,98,35425922.0,352000.0,361489.0,225.7401383711235,84.07142857142857,0.9183732133011693,58.0,30.0
Amador,30,10475535.0,350000.0,349184.5,202.29845018089372,117.2,0.8957705911655066,81.5,25.0
Kern,3666,2201026293.19,350000.0,600389.0597899618,219.62054500264293,48.82160392798691,inf,34.0,31.0
Glenn,330,116269272.0,350000.0,352331.12727272726,243.56659644194758,46.71212121212121,0.963298363811553,28.0,31.0
Trinity,30,11450870.0,340000.0,381695.6666666667,178.7663617590482,126.4,0.897921711365285,134.0,34.0
Siskiyou,53,21102549.0,329000.0,398161.30188679247,197.8658536585366,121.16981132075472,0.9208428795890347,56.0,32.0
Tehama,388,129656030.0,319500.0,334165.0257731959,221.99162084540762,71.12628865979381,0.9349376505297958,51.5,32.0
Imperial,290,77195527.0,287500.0,266191.4724137931,204.8438314612067,55.813793103448276,0.937933661839542,47.0,25.0
Modoc,2,564000.0,282000.0,282000.0,104.85839820041198,46.5,0.9856733524355301,50.5,41.5
Lake,1870,546369756.6,280000.0,292176.3404278075,197.53497707556818,83.84171122994653,0.921895739343969,59.0,30.0
Sierra,1,255000.0,255000.0,255000.0,222.9020979020979,1.0,0.9444444444444444,47.0,38.0
Foreign Country,4,835000.0,225000.0,208750.0,124.43469171923674,310.5,0.973154061423651,313.5,12.5
Lassen,14,3205500.0,167500.0,228964.2857142857,161.08479251619093,116.5,0.8633295250832829,115.5,35.5
Del Norte,1,49000.0,49000.0,49000.0,54.6875,105.0,0.8305084745762712,104.0,10.0
Other County,8,375681790.0,41750.0,46960223.75,34.07777946845202,26.5,145.07615888796263,10.0,16.0
Other,36,10154286.0,7800.0,282063.5,4.076587030716723,82.36111111111111,0.9292219759283786,61.0,2.0
Other State,41,6475076.0,2300.0,157928.68292682926,2.0,87.29268292682927,0.9188647080465415,49.0,1.0
