ListOfficeName,closed_sales,total_sales_volume,median_close_price,average_close_to_original_list_ratio,average_days_on_market
Compass,34927,50919942502.85,1072500.0,1.1445415320770551,33.94162109542761
Coldwell Banker Realty,23445,29104387931.15,870000.0,1.3970946988592916,37.8637236084453
Keller Williams Realty,9080,7895266153.99,785000.0,1.8518593446207248,32.97676211453744
Berkshire Hathaway HomeServices California Properties,6754,7591592002.09,730000.0,1.0702448588940472,44.1153390583358
Intero Real Estate Services,4081,6422632750.0,1310000.0,3.793701873531238,26.534427836314627
Coldwell Banker West,2823,6164396178.0,780000.0,4.204590776776126,30.383988664541267
First Team Real Estate,7194,6114805744.87,775000.0,84.56506289278965,32.13552960800667
The Agency,3804,5923748467.0,980000.0,1.03196415347164,41.95347003154574
Real Broker,5643,4801302382.87,740000.0,178.56754407798365,31.31667552720184
Pacific Sotheby's Int'l Realty,1947,4689962546.6,1346000.0,1.5530088087650076,39.569594247560346
eXp Realty of California Inc,5440,4480919405.0,715000.0,1681.3219706922662,38.86305147058823
Sotheby's International Realty,3186,4391929598.0,1000000.0,0.9706993369313617,49.7241054613936
Equity Union,4900,3849034548.47,650000.0,368.8194600282062,44.34918367346939
Christie's International Real Estate Sereno,1726,3306982480.0,1562500.0,1.019614774117698,25.589803012746234
Seven Gables Real Estate,2436,3305846736.0,865000.0,1.415267932206404,27.449096880131364
"eXp Realty of California, Inc.",3760,3136535063.63,710000.0,1.5760724728454334,29.697872340425533
Berkshire Hathaway HomeService,2679,3124085865.0,735000.0,2.418883605446852,39.79693915640164
Carolwood Estates,860,2812926610.0,1352500.0,0.9438694968889869,49.996511627906976
Redfin,1797,2719975644.0,925000.0,1.5669542850524936,27.209237618252644
COMPASS,2352,2472470628.6,830000.0,1.0205858302231192,32.79421768707483
Century 21 Masters,3881,2402620052.0,591790.0,245.23432347695575,38.171862921927335
Rodeo Realty,2911,2367616202.6,655000.0,1.635165314429074,40.98557196839574
"Pinnacle Estate Properties, Inc.",2613,2189711880.25,815000.0,1.084384227904318,37.459624952162265
Redfin Corporation,2336,2094290175.5,781000.0,0.9851369216866932,33.144263698630134
KW Advisors,1412,1934430451.0,1200000.0,1.1965509336092348,28.691926345609065
Estate Properties,1688,1682051789.79,800000.0,0.9903659772026006,35.524881516587676
Pinnacle Real Estate Group,2064,1667368758.0,727500.0,10.147318019072772,36.57461240310077
"Douglas Elliman of California, Inc.",961,1644237113.67,850000.0,0.9795251146994464,41.266389177939644
Christie's International Real Estate SoCal,887,1641466976.0,715000.0,0.9547047539044913,50.86358511837655
The Beverly Hills Estates,579,1530467806.0,1095000.0,0.9453473574645713,55.490500863557855
Bennion Deville Homes,1887,1528485242.25,610000.0,2.3168645563025785,64.00158982511924
Real Brokerage Technologies,1693,1528479452.0,700000.0,0.9921621943992446,35.841110454813936
RE/MAX Connections,803,1490323529.0,815000.0,2.1838753044952193,29.151930261519304
