PropertyType,PropertySubType,closed_sales,total_sales_volume,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,average_close_to_original_list_ratio,median_listing_to_contract_days,median_contract_to_close_days
CommercialLease,Unknown,2,6501.9,3250.95,3250.95,0.7578991067929121,196.0,0.9759012916907653,196.0,9.0
CommercialSale,Unknown,15,21422400.0,1300000.0,1428160.0,354.251012145749,102.46666666666667,0.9236797108190902,71.0,13.0
ManufacturedInPark,ManufacturedOnLand,439,104054119.0,228000.0,237025.32801822323,188.33333333333334,53.863325740318906,0.9516642122929864,41.0,30.0
ManufacturedInPark,Unknown,13226,2974032730.34,176000.0,224862.59869499473,143.85642135642138,66.53871162861032,inf,50.0,31.0
Residential,BoatSlip,45,12150900.0,180000.0,270020.0,1700.0,55.0,0.9183447966369269,20.0,18.0
Residential,Cabin,445,130980494.55,248000.0,294338.19,286.98979591836735,79.96629213483146,0.895678375808109,56.0,30.0
Residential,CoOwnership,18,13683499.0,424999.5,760194.3888888889,426.2720853858785,35.05555555555556,56.5434766320545,28.0,44.5
Residential,Condominium,63066,55178253660.76,625000.0,874928.7042266832,561.6982093178167,43.29680017759173,26.295519469855652,31.0,28.0
Residential,DeededParking,4,2625000.0,577500.0,656250.0,348.4079951787867,26.0,0.7603729990565522,18.0,27.0
Residential,Duplex,2139,2626580219.0,915000.0,1227947.7414679758,540.8472012102875,42.97522206638616,455.9829462171785,31.0,31.0
Residential,Farm,12,21382500.0,1500000.0,1781875.0,767.4818584487796,94.16666666666667,0.9301307102423224,27.5,26.5
Residential,Loft,28,19426900.0,687500.0,693817.8571428572,507.37303985038125,58.892857142857146,0.9881572838733232,46.0,35.5
Residential,ManufacturedHome,44,14462714.0,295000.0,328698.04545454547,186.4017571884984,61.31818181818182,0.9449977431118508,49.0,30.0
Residential,ManufacturedOnLand,5014,1767666155.93,320750.0,352546.1021001197,225.25373931623932,60.81232548863183,1.3113588575111321,40.0,34.0
Residential,MixedUse,201,188875661.0,670000.0,939679.9054726368,433.9522546419098,87.06467661691542,0.8858241946705727,68.0,32.0
Residential,MobileHome,38,23141500.0,560000.0,608986.8421052631,666.5980076398771,79.0,0.9049183044963515,73.0,7.5
Residential,OwnYourOwn,58,21194306.0,266000.0,365419.0689655172,516.8764338927126,65.56896551724138,1.0914343407036093,48.5,26.0
Residential,Quadruplex,140,207751814.0,1325000.0,1483941.5285714285,381.9369612068965,58.05714285714286,1.057966601131553,42.5,35.0
Residential,SingleFamilyResidence,287099,371096170935.65,890000.0,1292572.1473625824,530.7096004770424,37.11532955531019,inf,24.0,29.0
Residential,StockCooperative,1506,592203089.0,360000.0,393229.1427622842,397.07621082621085,38.49933598937583,1.6072530566657086,31.0,46.0
Residential,Studio,10,3544490.0,331000.0,354449.0,699.9995529987082,40.5,0.9614360958552913,26.0,32.5
Residential,Timeshare,12,4690500.0,150000.0,390875.0,44.576523031203564,85.33333333333333,0.8708732967574431,94.0,23.5
Residential,Townhouse,22336,22683642171.42,799000.0,1015564.2089640042,556.5465600935268,33.64178904011462,45.04220706600623,23.0,28.0
Residential,Triplex,340,437300341.0,1090000.0,1286177.4735294117,461.8833345918363,55.17058823529412,1.030908533343287,40.0,35.0
Residential,Unknown,752,740823157.0,800444.0,985137.1768617021,561.3931565233516,46.73936170212766,0.9952016112986741,22.0,25.0
ResidentialIncome,Duplex,499,719258038.0,1400000.0,1441398.873747495,680.973999174577,36.589178356713425,0.9842914943879961,17.0,28.0
ResidentialIncome,MixedUse,41,69170978.0,1650000.0,1687097.024390244,612.2994652406417,75.1951219512195,0.9301951876313115,54.0,31.0
ResidentialIncome,Quadruplex,253,444107963.0,1764500.0,1755367.442687747,511.437908496732,47.11857707509881,0.950421961524195,24.0,30.0
ResidentialIncome,Triplex,131,198266053.0,1430000.0,1513481.3206106871,519.6078431372549,65.36641221374046,0.9326154319228845,33.0,30.0
ResidentialIncome,Unknown,2996,6002136048.0,1500963.0,2003383.1935914552,408.8013589605842,65.3497997329773,1.2224621249321246,43.0,36.0
ResidentialLease,Apartment,11744,58867023.0,2500.0,5012.518988419619,3.1055555555555556,45.368358310626704,1.6267677109220904,31.0,0.0
ResidentialLease,Cabin,53,140140.0,2000.0,2644.1509433962265,2.4,65.66037735849056,1.126882029965314,55.0,0.0
ResidentialLease,Condominium,34379,165497503.58,3495.0,4813.912667035109,3.0,41.62279298408912,1.2702939395748827,29.0,1.0
