yrmo,closed_sales,median_close_price,average_close_price,median_living_area,average_days_on_market
2024-01,14517,540000.0,576693.3963594406,1488.0,32.07046910518702
2024-02,15983,590000.0,633739.3264312082,1504.0,27.965651004191955
2024-03,18665,615000.0,668263.0738194481,1512.0,24.799839271363513
2024-04,19819,654000.0,714863.6975518442,1527.0,22.79100862808416
2024-08,20435,630000.0,682573.2328739908,1519.0,26.145583557621727
2024-09,17667,625000.0,671304.9483443708,1512.0,27.394577460802626
2024-10,19241,650000.0,695514.8108362351,1527.0,28.60771269684528
2024-11,16581,644915.0,686839.2634732525,1527.0,29.648754598636994
2024-12,16310,644983.5,689167.4897903127,1532.0,32.26296750459841
2025-02,14709,589000.0,641355.9992997485,1508.0,29.775375620368482
2025-03,16913,610000.0,656476.4720091054,1509.0,27.08194879678354
2025-04,18505,631000.0,679719.5869818968,1519.0,26.036638746284787
2025-05,18803,625000.0,671189.5273993512,1525.0,26.653246822315587
2025-06,18583,616000.0,665933.2166620028,1534.0,28.15051391056342
2025-07,19342,607000.0,654405.774621549,1526.0,29.55749146934133
2025-08,18840,600000.0,640695.7608550956,1520.0,31.317303609341828
2025-09,18140,610000.0,652855.2840187431,1514.5,31.726074972436603
2025-10,18502,620000.0,660549.6411496054,1520.0,32.658577451086366
2025-11,15079,610000.0,652315.0613469062,1527.0,32.76682803899463
2025-12,15864,615000.0,652171.156241175,1515.0,33.994452849218355
2026-01,12707,520000.0,563773.4723010939,1514.0,36.287715432438816
2026-02,14617,575000.0,622177.598793186,1505.0,32.19545734418828
2026-03,18233,605000.0,658327.199262875,1520.0,28.54203915976526
2026-04,19162,630000.0,678796.935175347,1530.0,26.769126395992068
2026-05,19374,625000.0,675191.8800820687,1540.0,27.251419428099513
2026-06,20674,630000.0,684448.1749332495,1544.0,28.15405823739963
