yrmo,closed_sales,median_close_price,average_close_price,median_living_area,average_days_on_market
2024-01,16376,555000.0,712952.3042495114,1538.0,41.149548119198826
2024-02,18271,605000.0,783402.1862421323,1561.0,38.232992173389526
2024-03,21470,640000.0,836159.3683730788,1577.0,34.87265952491849
2024-04,22770,688392.5,901444.9522081686,1593.0,31.96556873078612
2024-08,22845,655000.0,864570.9494703437,1575.0,32.89017290435544
2024-09,19838,650000.0,857866.1467083375,1570.0,34.29060389152132
2024-10,21746,685000.0,886897.664043962,1584.0,35.722523682516325
2024-11,18904,675000.0,902745.7383437367,1584.0,37.55358654253068
2024-12,18665,670000.0,867328.3122625233,1585.0,41.88122153763729
2025-02,17313,620000.0,835627.658063305,1576.0,41.98018829781089
2025-03,19829,636080.0,880842.7974703717,1576.0,39.06021483685511
2025-04,21457,655000.0,935088.7426527473,1583.0,36.634618073356016
2025-05,21455,649000.0,923866.1159967373,1582.0,35.858914006059194
2025-06,21252,645000.0,903979.6265400903,1597.0,37.475625823451914
2025-07,22087,635000.0,871407.2110318288,1585.0,38.43233576311858
2025-08,21490,625000.0,862258.3149799906,1578.0,40.41046998604002
2025-09,20910,635000.0,1104363.5238689622,1574.0,42.05298900047824
2025-10,21591,650000.0,901237.8190616461,1585.0,44.186883423648744
2025-11,17758,645000.0,895039.7037943462,1594.0,45.61803130983219
2025-12,18834,640000.0,892850.6617048953,1582.0,48.768822342571944
2026-01,15213,550000.0,811636.5877394334,1572.0,51.623414185236314
2026-02,17578,599000.0,826186.7336704972,1565.0,48.2319376493344
2026-03,21721,630000.0,896000.3002145389,1580.0,43.79319552506791
2026-04,22675,655000.0,980064.4768538037,1592.0,40.20542447629548
2026-05,22636,650000.0,869773.2776422512,1600.0,39.47976674324086
2026-06,23905,657000.0,889824.0637699226,1607.0,38.30483162518301
